Schweizer Nährwertdatenbank – Markenprodukte V6.5 (27.06.2023);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;ID V 4.0;ID SwissFIR;Name;Synonyme;Kategorie;Dichte;Bezugseinheit;Energie, Kilojoule (kJ);Herleitung des Wertes;Quelle;Energie, Kalorien (kcal);Herleitung des Wertes;Quelle;Fett, total (g);Herleitung des Wertes;Quelle;Fettsäuren, gesättigt (g);Herleitung des Wertes;Quelle;Fettsäuren, einfach ungesättigt (g);Herleitung des Wertes;Quelle;Fettsäuren, mehrfach ungesättigt (g);Herleitung des Wertes;Quelle;Cholesterin (mg);Herleitung des Wertes;Quelle;Kohlenhydrate, verfügbar (g);Herleitung des Wertes;Quelle;Zucker (g);Herleitung des Wertes;Quelle;Stärke (g);Herleitung des Wertes;Quelle;Nahrungsfasern (g);Herleitung des Wertes;Quelle;Protein (g);Herleitung des Wertes;Quelle;Salz (NaCl) (g);Herleitung des Wertes;Quelle;Alkohol (g);Herleitung des Wertes;Quelle;Wasser (g);Herleitung des Wertes;Quelle;Vitamin A-Aktivität, RE (µg-RE);Herleitung des Wertes;Quelle;Vitamin A-Aktivität, RAE (µg-RE);Herleitung des Wertes;Quelle;Retinol (µg);Herleitung des Wertes;Quelle;Betacarotin-Aktivität (µg-BCE);Herleitung des Wertes;Quelle;Betacarotin (µg);Herleitung des Wertes;Quelle;Vitamin B1 (Thiamin) (mg);Herleitung des Wertes;Quelle;Vitamin B2 (Riboflavin) (mg);Herleitung des Wertes;Quelle;Vitamin B6 (Pyridoxin) (mg);Herleitung des Wertes;Quelle;Vitamin B12 (Cobalamin) (µg);Herleitung des Wertes;Quelle;Niacin (mg);Herleitung des Wertes;Quelle;Folat (µg);Herleitung des Wertes;Quelle;Pantothensäure (mg);Herleitung des Wertes;Quelle;Vitamin C (Ascorbinsäure) (mg);Herleitung des Wertes;Quelle;Vitamin D (Calciferol) (µg);Herleitung des Wertes;Quelle;Vitamin E (α-Tocopherol) (mg);Herleitung des Wertes;Quelle;Kalium (K) (mg);Herleitung des Wertes;Quelle;Natrium (Na) (mg);Herleitung des Wertes;Quelle;Chlorid (Cl) (mg);Herleitung des Wertes;Quelle;Calcium (Ca) (mg);Herleitung des Wertes;Quelle;Magnesium (Mg) (mg);Herleitung des Wertes;Quelle;Phosphor (P) (mg);Herleitung des Wertes;Quelle;Eisen (Fe) (mg);Herleitung des Wertes;Quelle;Jod (I) (µg);Herleitung des Wertes;Quelle;Zink (Zn)  (mg);Herleitung des Wertes;Quelle;Selen (Se) (µg);Herleitung des Wertes;Quelle;Geänderter Eintrag
1253;;;Amaro Ramazzotti (30 vol%);;Alkoholhaltige Getränke/Sonstige alkoholische Getränke;1.1;pro 100 ml;1010;Automatisierte Berechnung;;242;Automatisierte Berechnung;;0;-;1129;k.A.;;;k.A.;;;k.A.;;;0;-;1129;19;-;1129;19;-;1129;k.A.;;;0;-;1129;0;-;1129;k.A.;;;23.7;-;1072;57.3;Automatisierte Berechnung;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
1147;4088;;Eichhof Hubertus (Spezialbier dunkel, 6 vol%);;Alkoholhaltige Getränke/Bier;1;pro 100 ml;189;Automatisierte Berechnung;;45;Automatisierte Berechnung;;0.1;-;1045;0.1;-;1045;k.A.;;;k.A.;;;0;-;1003;2.3;-;1045;0.1;-;1045;k.A.;;;0.2;-;1045;0.5;-;1045;k.A.;;;4.7;-;1047;92.3;-;1003;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;2;-;1045;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
13436;;;Energy Drink, mit Süssstoffen (Durchschnitt von Markenprodukten);;Alkoholfreie Getränke/Süssgetränke energievermindert;1;pro 100 ml;3;Automatisierte Berechnung;;1;Automatisierte Berechnung;;0;-;1682;0;-;1682;k.A.;;;k.A.;;;k.A.;;;0.2;-;1682;0;-;1682;k.A.;;;0;-;1682;0;-;1682;0.2;-;1682;k.A.;;;99.8;-;1662;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;1.54;-;1682;1.77;-;1682;7.77;-;1682;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
1151;3563;;Ittinger (Spezialbier Amber, 5.6 vol%);;Alkoholhaltige Getränke/Bier;1;pro 100 ml;197;Automatisierte Berechnung;;47;Automatisierte Berechnung;;0.1;-;1045;0.1;-;1045;k.A.;;;k.A.;;;0;-;1003;3.2;-;1045;0;-;1045;k.A.;;;0.2;-;1045;0.6;-;1045;k.A.;;;4.4;-;1047;91.6;-;1003;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;1;-;1045;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
13425;;;Joghurt, nach griechischer Art, mit Rahm, nature (Durchschnitt von Markenprodukten);;Milch und Milchprodukte/Joghurt und Sauermilch;;pro 100g essbarer Anteil;484;Automatisierte Berechnung;;117;Automatisierte Berechnung;;9.4;-;1682;6;-;1682;k.A.;;;k.A.;;;k.A.;;;3.9;-;1682;3.9;-;1682;k.A.;;;0;-;1682;4.2;-;1682;0.1;-;1682;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
1262;;;Malibu Coconut (21 vol%);;Alkoholhaltige Getränke/Sonstige alkoholische Getränke;1.052;pro 100 ml;826;Automatisierte Berechnung;;197;Automatisierte Berechnung;;0;-;1129;k.A.;;;k.A.;;;k.A.;;;0;-;1129;20.3;-;1129;20.3;-;1069;k.A.;;;0;-;1129;0;-;1129;k.A.;;;16.6;-;1069;63.2;Automatisierte Berechnung;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
1045;4236;;Mineralwasser Acqua Panna;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;k.A.;;;0;Schätzung;1003;100;Schätzung;1003;k.A.;;;k.A.;;;0;Schätzung;1662;k.A.;;;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0.1;-;3206;0.7;-;3206;0.7;-;3206;3.2;-;3206;0.7;-;3206;k.A.;;;k.A.;;;<1;-;3206;k.A.;;;k.A.;;;Ja
538;4276;1001058;Mineralwasser Adelbodner;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;Schätzung;51;0;Schätzung;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;k.A.;;;0;Schätzung;51;99.8;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0.2;-;3206;1;-;3206;1.5;-;3206;56;-;3206;3.7;-;3206;k.A.;;;k.A.;;;<1;-;3206;k.A.;;;k.A.;;;Ja
1171;4623;;Mineralwasser Adello;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;k.A.;;;0;Schätzung;1003;99.8;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0.2;-;3206;0.7;-;3206;1.2;-;3206;51;-;3206;3.8;-;3206;k.A.;;;k.A.;;;<1;-;3206;k.A.;;;k.A.;;;Ja
540;4634;1001060;Mineralwasser Allegra (Malix);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;k.A.;;;0;Schätzung;51;100;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;<0.1;-;3206;0.6;-;3206;1.1;-;3206;9.7;-;3206;2.4;-;3206;k.A.;;;k.A.;;;<1;-;3206;k.A.;;;k.A.;;;Ja
