Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kalorien (kcal)
Agar Agar;;Verschiedenes/Gelier- und Bindemittel;pro 100g essbarer Anteil;160
Agavensirup;Agavendicksaft;Süssigkeiten/Zucker und Süssstoffe;pro 100g essbarer Anteil;293
Ahornsirup;;Süssigkeiten/Zucker und Süssstoffe;pro 100 ml;358
Alge, Nori, getrocknet;Algen, getrocknet;Gemüse/Gemüse getrocknet;pro 100g essbarer Anteil;255
Älplermagronen, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;180
Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;119
Amaranth, Samen, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;376
Amaretti (Mandelgebäck);;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;464
Ananas, in Ananassaft, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;60
Ananas, in Ananassaft, Konserve, nicht abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;59
Ananas, in Sirup, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;70
Ananas, mit Süssungsmittel, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;42
Ananas, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;52
Ananassaft;;Früchte/Fruchtsäfte;pro 100g essbarer Anteil;51
Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;56
Apfel, geschält, getrocknet;Dörrapfel;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;264
Apfel, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;52
Apfelkuchen, hausgemacht, gebacken (mit Blätterteig);Apfelwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;145
Apfelkuchen, hausgemacht, gebacken (mit Kuchenteig);Apfelwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;147
Apfelmus, gezuckert (Konserve);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;89
Apfelmus, ungezuckert (Konserve);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;55
Apfelsaft;Süssmost;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;50
Apfelwein, 4 vol%;"Apfelmost;Saurer Most;Cider";Alkoholhaltige Getränke/Wein;pro 100 ml;32
