Sportarten (Körpergewicht 70 kg während 30 min);;;;
Sportart;Kilokalorien;;;
Aerobic;70-90 kcal;;;
Assault Air Bike;320 kcal;;;
Badminton;214 kcal;;;
Basketball;244 kcal;;;
Crosstrainer, langsam;225 kcal;;;
Crosstrainer, schnell;325 kcal;;;
Croquet;101 kcal;;;
Inliner;245 kcal;;;
Intervalltraining;183 kcal;;;
Joggen, langsam;280 kcal;;;
Joggen, schnell;448 kcal;;;
Judo;162 kcal;;;
Krafttraining;238 kcal;;;
Laufen;200 kcal;;;
Leichtathletik;184 kcal;;;
Liegestütze;107 kcal;;;
Rudern;43 kcal;;;
Radfahren;281 kcal;;;
Reiten;32 kcal;;;
Seilspringen;107 kcal;;;
Schwimmen;50 kcal;;;
Sit Ups;107 kcal;;;
Stepper;74 kcal;;;
Spinning;162 kcal;;;
Skifahren;249 kcal;;;
Tanzen;80 kcal;;;
Trampolin;50 kcal;;;
Tischtennis;186 kcal;;;
Wandern;66 kcal;;;
Walken;50 kcal;;;
Wassergymnastik;162 kcal;;;
Yoga;62 kcal;;;
Zumba;97 kcal;;;
